Name,Latitude,Longitude,Type,Maps_Link,Rainfall,Rainfall_Intensity,Elevation,Distance_to_Water_Body,Flood_Prone
Nityanand Rehabilitation and Residential Mental Heal,18.4565508,73.8515434,hospital,https://www.openstreetmap.org/?mlat=18.4565508&mlon=73.8515434#map=18/18.4565508/73.8515434,1,21.61167919752881,568.4961971446031,1.675583803957651,0
Yashda Hospital,18.5168084,73.859535,hospital,https://www.openstreetmap.org/?mlat=18.5168084&mlon=73.859535#map=18/18.5168084/73.859535,0,178.5863231422746,654.0408825937476,6.414151711001069,0
Joglekar Hospital,18.5327524,73.8336359,hospital,https://www.openstreetmap.org/?mlat=18.5327524&mlon=73.8336359#map=18/18.5327524/73.8336359,0,172.9564850914838,743.1425470252648,9.09318272501494,0
Chaitanya Centre For Psychological Help,18.4795175,73.8043727,hospital,https://www.openstreetmap.org/?mlat=18.4795175&mlon=73.8043727#map=18/18.4795175/73.8043727,1,126.51096372136966,527.8488822056524,5.898151231900296,0
Mothercare Hospital,18.4872463,73.8760145,hospital,https://www.openstreetmap.org/?mlat=18.4872463&mlon=73.8760145#map=18/18.4872463/73.8760145,1,242.5033123348075,828.6633687335441,5.845507874668792,0
"Sahyadri Hospital, Bibvewadi",18.4781739,73.862105,hospital,https://www.openstreetmap.org/?mlat=18.4781739&mlon=73.862105#map=18/18.4781739/73.862105,1,143.86020685993407,798.3748789716537,6.09934599374358,0
Argade Infertility and Endoscopic Surgery and Icu Center,18.5017523,73.8102353,hospital,https://www.openstreetmap.org/?mlat=18.5017523&mlon=73.8102353#map=18/18.5017523/73.8102353,1,118.66789244539495,880.8133016865373,6.550208071405632,0
Shree Balaji Eye Hospital,18.4910283,73.8581684,hospital,https://www.openstreetmap.org/?mlat=18.4910283&mlon=73.8581684#map=18/18.4910283/73.8581684,1,232.8943261611917,584.1229050583706,0.8722978641791279,1
Chaitanya Stem Cell Center,18.5000189,73.8503981,hospital,https://www.openstreetmap.org/?mlat=18.5000189&mlon=73.8503981#map=18/18.5000189/73.8503981,1,150.10783018922064,723.8010953793813,4.310344302684227,0
"Pawar Hospital, Pune",18.4658771,73.8601231,hospital,https://www.openstreetmap.org/?mlat=18.4658771&mlon=73.8601231#map=18/18.4658771/73.8601231,1,22.96066425560056,800.424900370429,0.6202495211268078,0
Galaxy Care Laparoscopy Institute Pvt. Ltd.,18.5110031,73.837105,hospital,https://www.openstreetmap.org/?mlat=18.5110031&mlon=73.837105#map=18/18.5110031/73.837105,0,145.263172556246,895.9408840825893,0.5135397670903119,0
Punarvasu Chikitsalaya,18.5284781,73.8423179,hospital,https://www.openstreetmap.org/?mlat=18.5284781&mlon=73.8423179#map=18/18.5284781/73.8423179,0,207.41313536556865,818.9886680811928,9.75497137631937,0
"Sangam Hospital, Pune",18.4757105,73.8578707,hospital,https://www.openstreetmap.org/?mlat=18.4757105&mlon=73.8578707#map=18/18.4757105/73.8578707,1,222.20840546485894,896.5942222088682,4.944315812022879,0
Umarji Hospital,18.5119352,73.857758,hospital,https://www.openstreetmap.org/?mlat=18.5119352&mlon=73.857758#map=18/18.5119352/73.857758,0,78.62596497667806,669.6060720446059,5.111473022142071,0
Shashwat Hospital,18.4948349,73.8135271,hospital,https://www.openstreetmap.org/?mlat=18.4948349&mlon=73.8135271#map=18/18.4948349/73.8135271,1,44.66952768744591,883.7662907491167,1.9237608678012363,0
Indira Maternity Home,18.5122188,73.8762961,hospital,https://www.openstreetmap.org/?mlat=18.5122188&mlon=73.8762961#map=18/18.5122188/73.8762961,0,178.62948389211311,893.9495332279829,9.46510502078249,0
Ranka Hospital,18.4950117,73.861886,hospital,https://www.openstreetmap.org/?mlat=18.4950117&mlon=73.861886#map=18/18.4950117/73.861886,1,151.9277255023588,591.462823307287,4.418519578770919,0
Bhide Hospital,18.5048666,73.8443399,hospital,https://www.openstreetmap.org/?mlat=18.5048666&mlon=73.8443399#map=18/18.5048666/73.8443399,1,158.27393913419039,560.7047682902794,9.087548390984434,0
Poona Laser Center,18.5123701,73.8381752,hospital,https://www.openstreetmap.org/?mlat=18.5123701&mlon=73.8381752#map=18/18.5123701/73.8381752,0,252.04750501439506,749.9466672726595,3.387107908415147,0
Siddhant Maternity Home,18.4792694,73.8566422,hospital,https://www.openstreetmap.org/?mlat=18.4792694&mlon=73.8566422#map=18/18.4792694/73.8566422,1,20.66797591581536,581.9400083348122,7.89516696418964,0
Amit Hospital,18.5463494,73.8880362,hospital,https://www.openstreetmap.org/?mlat=18.5463494&mlon=73.8880362#map=18/18.5463494/73.8880362,0,98.46873438440575,674.0681375242885,6.377656281744822,0
"Purandare Hospital, Pune",18.5022916,73.8586646,hospital,https://www.openstreetmap.org/?mlat=18.5022916&mlon=73.8586646#map=18/18.5022916/73.8586646,1,122.58801294533464,599.6949584086661,7.66920226136281,0
Pramodini Urology Foundation,18.5199125,73.8410217,hospital,https://www.openstreetmap.org/?mlat=18.5199125&mlon=73.8410217#map=18/18.5199125/73.8410217,0,299.72634854709185,507.4165216245544,0.4602369380853011,1
Harsh Hospital,18.4802908,73.8662057,hospital,https://www.openstreetmap.org/?mlat=18.4802908&mlon=73.8662057#map=18/18.4802908/73.8662057,1,148.70636931032786,783.5579793549565,6.913141455214706,0
Moolanis Eye Care Centre,18.5057737,73.8783494,hospital,https://www.openstreetmap.org/?mlat=18.5057737&mlon=73.8783494#map=18/18.5057737/73.8783494,1,294.7411196702777,687.2354054733861,4.515385814556132,0
Gokhale Hospital,18.502172,73.857062,hospital,https://www.openstreetmap.org/?mlat=18.502172&mlon=73.857062#map=18/18.502172/73.857062,1,162.06025066461433,574.3864683245431,3.214908080900165,0
Wankhede Hospital,18.4724656,73.8888207,hospital,https://www.openstreetmap.org/?mlat=18.4724656&mlon=73.8888207#map=18/18.4724656/73.8888207,1,144.24560435170096,799.3928899848997,3.322754375892144,0
Pune Fertility Center,18.5287757,73.8479868,hospital,https://www.openstreetmap.org/?mlat=18.5287757&mlon=73.8479868#map=18/18.5287757/73.8479868,0,158.27094413353973,695.2142733783642,1.185796832663173,1
Jagtap Hospital,18.4774187,73.8237825,hospital,https://www.openstreetmap.org/?mlat=18.4774187&mlon=73.8237825#map=18/18.4774187/73.8237825,1,10.139095995287795,899.802176017902,4.341087786285296,0
Joshi Hospital,18.5171772,73.8332118,hospital,https://www.openstreetmap.org/?mlat=18.5171772&mlon=73.8332118#map=18/18.5171772/73.8332118,0,45.25390129513925,631.5462656705131,2.32361982928762,0
Dr Patwardhan Hospital,18.4573434,73.8507776,hospital,https://www.openstreetmap.org/?mlat=18.4573434&mlon=73.8507776#map=18/18.4573434/73.8507776,1,40.82721353608013,763.142245573551,9.208481618495933,0
Shri Samarth Hospital,18.5180616,73.865867,hospital,https://www.openstreetmap.org/?mlat=18.5180616&mlon=73.865867#map=18/18.5180616/73.865867,0,56.833791559867244,583.1279695384987,2.912898344545755,0
Kamal Netra Rugnalaya,18.4949914,73.81219,hospital,https://www.openstreetmap.org/?mlat=18.4949914&mlon=73.81219#map=18/18.4949914/73.81219,1,0.5437451356229972,594.4018509642445,9.424415487813304,0
Kulkarni Hospital and Diagnostic Centre,18.4851967,73.8092832,hospital,https://www.openstreetmap.org/?mlat=18.4851967&mlon=73.8092832#map=18/18.4851967/73.8092832,1,183.70561338955292,508.85637517763587,3.715231138703042,0
Khares Eye Institute,18.5145168,73.8317379,hospital,https://www.openstreetmap.org/?mlat=18.5145168&mlon=73.8317379#map=18/18.5145168/73.8317379,0,84.07090442383239,551.5168826014981,2.234623444783436,0
Dr Chavans Fracture and Orthopaedic Center,18.4785979,73.8238536,hospital,https://www.openstreetmap.org/?mlat=18.4785979&mlon=73.8238536#map=18/18.4785979/73.8238536,1,92.56467378149323,629.7219430950349,6.608859846442826,0
Gultekdi Nursing and Maternity Home,18.4926804,73.8685472,hospital,https://www.openstreetmap.org/?mlat=18.4926804&mlon=73.8685472#map=18/18.4926804/73.8685472,1,144.17138797896,842.2550427386926,4.8209893437584705,0
Ashakiran Hospital,18.5158253,73.8474959,hospital,https://www.openstreetmap.org/?mlat=18.5158253&mlon=73.8474959#map=18/18.5158253/73.8474959,0,173.91089604188878,513.3616398335381,2.077582057222803,1
Sant Dnyaneswar Medical Education Research Centre,18.5137805,73.8476971,hospital,https://www.openstreetmap.org/?mlat=18.5137805&mlon=73.8476971#map=18/18.5137805/73.8476971,0,80.45890565760277,757.9765273868065,4.43923398385828,0
Dr. Karve Childrens Hospital,18.5252254,73.8499763,hospital,https://www.openstreetmap.org/?mlat=18.5252254&mlon=73.8499763#map=18/18.5252254/73.8499763,0,282.45573919027817,556.3903868999987,6.176715125585096,0
Yashashree Maternity and Nursing Home,18.4886651,73.8502412,hospital,https://www.openstreetmap.org/?mlat=18.4886651&mlon=73.8502412#map=18/18.4886651/73.8502412,1,149.2477920912361,771.8989656846751,2.561679356638238,0
Vinayak Netralaya - Pune,18.5105851,73.817981,hospital,https://www.openstreetmap.org/?mlat=18.5105851&mlon=73.817981#map=18/18.5105851/73.817981,0,69.29773497203009,780.0044656042562,9.40670367930711,0
Rahel Hospital,18.5152906,73.8754553,hospital,https://www.openstreetmap.org/?mlat=18.5152906&mlon=73.8754553#map=18/18.5152906/73.8754553,0,282.0577904731429,731.8492905871404,4.347889287183908,0
Nachiket Hospital Pvt Ltd,18.5076864,73.831062,hospital,https://www.openstreetmap.org/?mlat=18.5076864&mlon=73.831062#map=18/18.5076864/73.831062,1,263.1469075172102,742.0491780996409,4.671448474868053,0
Shahade Hospital,18.4978682,73.8537562,hospital,https://www.openstreetmap.org/?mlat=18.4978682&mlon=73.8537562#map=18/18.4978682/73.8537562,1,75.86227362679864,807.1050888623431,8.420844174766643,0
Dada Laser Eye Institute,18.5109382,73.8799037,hospital,https://www.openstreetmap.org/?mlat=18.5109382&mlon=73.8799037#map=18/18.5109382/73.8799037,0,260.29014157799264,699.2937487644745,7.1239912577933655,0
Dr.Prakash Katariya Laser Cure,18.5223591,73.8441311,hospital,https://www.openstreetmap.org/?mlat=18.5223591&mlon=73.8441311#map=18/18.5223591/73.8441311,0,257.0585663050831,750.1035950146343,0.6426735469660727,0
"Siddharth Hospital, Pune",18.4900578,73.8684641,hospital,https://www.openstreetmap.org/?mlat=18.4900578&mlon=73.8684641#map=18/18.4900578/73.8684641,1,147.34151650670418,626.02765077722,3.8791208230820127,0
Dr.Purohit Nursing Home,18.490344,73.8443121,hospital,https://www.openstreetmap.org/?mlat=18.490344&mlon=73.8443121#map=18/18.490344/73.8443121,1,289.86398930517004,701.1064261128332,7.284073532850737,0
Siddhi Hospital and Laproscopy Centre Pvt Ltd,18.464116,73.859008,hospital,https://www.openstreetmap.org/?mlat=18.464116&mlon=73.859008#map=18/18.464116/73.859008,1,10.604412287298626,515.4688054179637,3.343450252820505,0
Suraj Hospital,18.4814034,73.8724713,hospital,https://www.openstreetmap.org/?mlat=18.4814034&mlon=73.8724713#map=18/18.4814034/73.8724713,1,83.39934561042251,664.159781979141,7.604319381639659,0
Chinchanikar Hospital,18.4785438,73.8235485,hospital,https://www.openstreetmap.org/?mlat=18.4785438&mlon=73.8235485#map=18/18.4785438/73.8235485,1,68.65299582452829,628.5613838963909,0.4216010829932726,0
Dr Sarawat Memorial Hospital,18.4705427,73.8878018,hospital,https://www.openstreetmap.org/?mlat=18.4705427&mlon=73.8878018#map=18/18.4705427/73.8878018,1,12.132559021107914,706.9624554151338,6.089514447274961,0
Om Hospital,18.5292449,73.830716,hospital,https://www.openstreetmap.org/?mlat=18.5292449&mlon=73.830716#map=18/18.5292449/73.830716,0,61.75549805348195,876.6143167761638,0.9141612751640704,0
Pune Adventist Hospital;advantist hospital,18.491944,73.8710202,hospital,https://www.openstreetmap.org/?mlat=18.491944&mlon=73.8710202#map=18/18.491944/73.8710202,1,190.40176983847755,510.4285795791649,4.810423614149694,0
Mahajan Hospital,18.4840672,73.857003,hospital,https://www.openstreetmap.org/?mlat=18.4840672&mlon=73.857003#map=18/18.4840672/73.857003,1,49.24719032805277,564.7960636508069,5.963547991523537,0
Om Prasuti Graha,18.5470843,73.8885243,hospital,https://www.openstreetmap.org/?mlat=18.5470843&mlon=73.8885243#map=18/18.5470843/73.8885243,0,42.120570928145916,731.9487012878312,3.0094668129431126,0
Subodh Hospital,18.5035234,73.8137605,hospital,https://www.openstreetmap.org/?mlat=18.5035234&mlon=73.8137605#map=18/18.5035234/73.8137605,1,4.272107998192832,644.4085036103231,8.795127628727652,0
"Pai Hospital, Pune",18.4689649,73.8572026,hospital,https://www.openstreetmap.org/?mlat=18.4689649&mlon=73.8572026#map=18/18.4689649/73.8572026,1,211.46576712594137,654.1311770601208,9.515354349977292,0
Chinmay Institute Of Paediatrics,18.5083289,73.8457009,hospital,https://www.openstreetmap.org/?mlat=18.5083289&mlon=73.8457009#map=18/18.5083289/73.8457009,1,135.9674214480298,734.1248668029292,9.876164353336579,0
Patil Hospital - Pune,18.4797674,73.8251685,hospital,https://www.openstreetmap.org/?mlat=18.4797674&mlon=73.8251685#map=18/18.4797674/73.8251685,1,138.4398881382059,825.5035168523882,1.6944975953879782,0
Shree.J.Hospital,18.4653028,73.864194,hospital,https://www.openstreetmap.org/?mlat=18.4653028&mlon=73.864194#map=18/18.4653028/73.864194,1,186.35844839423962,668.0351681698831,0.17251222290616264,1
Paranjpe Eye Clinic and Eye Surgery Centre,18.5183547,73.8404001,hospital,https://www.openstreetmap.org/?mlat=18.5183547&mlon=73.8404001#map=18/18.5183547/73.8404001,0,55.852715408463496,683.609576330453,0.2965554748355492,0
Ace Hospital,18.504933,73.8303593,hospital,https://www.openstreetmap.org/?mlat=18.504933&mlon=73.8303593#map=18/18.504933/73.8303593,1,36.85550409602952,813.1518703388368,0.1752228146777013,0
Chandra Hospital,18.4522084,73.890656,hospital,https://www.openstreetmap.org/?mlat=18.4522084&mlon=73.890656#map=18/18.4522084/73.890656,1,163.97364064038376,691.7293000914676,1.9403728170710166,1
Global Hospital & Research Institute,18.5013237,73.8410144,hospital,https://www.openstreetmap.org/?mlat=18.5013237&mlon=73.8410144#map=18/18.5013237/73.8410144,1,195.20176939489522,696.2648492228346,1.1348562847331334,1
"Lokmanya Hospital, Pune",18.5089079,73.834105,hospital,https://www.openstreetmap.org/?mlat=18.5089079&mlon=73.834105#map=18/18.5089079/73.834105,1,28.716466561684662,786.6553148961027,8.065982154647436,0
Sai Sneh Hospital and Diagnostic Centre Pvt Ltd,18.4465478,73.8597831,hospital,https://www.openstreetmap.org/?mlat=18.4465478&mlon=73.8597831#map=18/18.4465478/73.8597831,1,142.98603167261774,791.5473284313689,3.984988033884509,0
"Lodha Hospital, Pune",18.4833651,73.8004071,hospital,https://www.openstreetmap.org/?mlat=18.4833651&mlon=73.8004071#map=18/18.4833651/73.8004071,1,199.20263022777243,863.3053612409481,1.6995056505692452,0
"Adarsh Hospital, Pune",18.4541274,73.8881166,hospital,https://www.openstreetmap.org/?mlat=18.4541274&mlon=73.8881166#map=18/18.4541274/73.8881166,1,52.579216238138656,823.7673147350121,6.939502078354884,0
Dhanwantari Hospital,18.5194471,73.8658999,hospital,https://www.openstreetmap.org/?mlat=18.5194471&mlon=73.8658999#map=18/18.5194471/73.8658999,0,173.03346772656712,607.6310746213755,8.334426153371849,0
Pungliya Hospital,18.5226796,73.8508487,hospital,https://www.openstreetmap.org/?mlat=18.5226796&mlon=73.8508487#map=18/18.5226796/73.8508487,0,170.1226401826426,832.1032903021809,2.541899996741873,0
B.J.Medical College and Sassoon Hospital,18.526235,73.871161,hospital,https://www.openstreetmap.org/?mlat=18.526235&mlon=73.871161#map=18/18.526235/73.871161,0,221.08938027263503,524.4573339954975,8.407589633823957,0
Karne Hospital Pvt Ltd,18.4954696,73.8583709,hospital,https://www.openstreetmap.org/?mlat=18.4954696&mlon=73.8583709#map=18/18.4954696/73.8583709,1,270.9513943768853,855.3001923561073,0.3770412430548431,0
Vibhute Hospital,18.5040492,73.8518391,hospital,https://www.openstreetmap.org/?mlat=18.5040492&mlon=73.8518391#map=18/18.5040492/73.8518391,1,156.95764116725343,602.5216366571386,6.351321512352674,0
Kulkarni Endo Surgery Institute and Reconstructive Urology Centre,18.5097841,73.8029893,hospital,https://www.openstreetmap.org/?mlat=18.5097841&mlon=73.8029893#map=18/18.5097841/73.8029893,1,66.92459727039066,738.2063590529608,3.3442124712535612,0
Vinnayak Hospital,18.4854879,73.8717458,hospital,https://www.openstreetmap.org/?mlat=18.4854879&mlon=73.8717458#map=18/18.4854879/73.8717458,1,11.05610358242799,654.9943178620028,1.7795009620364899,0
Shah Hospital,18.5486475,73.8893055,hospital,https://www.openstreetmap.org/?mlat=18.5486475&mlon=73.8893055#map=18/18.5486475/73.8893055,0,289.4012942204592,871.4848842147926,9.45328856658826,0
Pune City Eye Hospital,18.5298629,73.8760869,hospital,https://www.openstreetmap.org/?mlat=18.5298629&mlon=73.8760869#map=18/18.5298629/73.8760869,0,161.62359524162508,872.4707718715961,6.65894186130791,0
Talesara Hospital,18.5498719,73.8887711,hospital,https://www.openstreetmap.org/?mlat=18.5498719&mlon=73.8887711#map=18/18.5498719/73.8887711,0,266.4164103208987,636.9559912435819,2.5729411324158447,1
Deodhar Eye Hospital,18.5114494,73.836472,hospital,https://www.openstreetmap.org/?mlat=18.5114494&mlon=73.836472#map=18/18.5114494/73.836472,0,227.0976245322248,667.4078315681518,5.918321186016076,0
Godbole Hospital,18.5112078,73.8513154,hospital,https://www.openstreetmap.org/?mlat=18.5112078&mlon=73.8513154#map=18/18.5112078/73.8513154,0,18.61448616487087,514.0666644077461,4.75992924448671,0
Kataria Hospital,18.545411,73.8855249,hospital,https://www.openstreetmap.org/?mlat=18.545411&mlon=73.8855249#map=18/18.545411/73.8855249,0,268.35026105494507,834.3475220266898,7.521010132354905,0
Dr.Pawar Eye Hospital,18.5092716,73.8449264,hospital,https://www.openstreetmap.org/?mlat=18.5092716&mlon=73.8449264#map=18/18.5092716/73.8449264,1,36.06985480836481,753.2852014359818,7.251449893971499,0
Nm Wadia Institute Of Cardiology,18.5307444,73.8771894,hospital,https://www.openstreetmap.org/?mlat=18.5307444&mlon=73.8771894#map=18/18.5307444/73.8771894,0,127.65344346661298,711.5482888592677,8.956564996666373,0
Bhandari Maternity and Nursing Home,18.4777164,73.8234164,hospital,https://www.openstreetmap.org/?mlat=18.4777164&mlon=73.8234164#map=18/18.4777164/73.8234164,1,281.8758251477466,619.102505754074,8.689417541877518,0
"Samarth Hospital, Pune",18.5195234,73.862059,hospital,https://www.openstreetmap.org/?mlat=18.5195234&mlon=73.862059#map=18/18.5195234/73.862059,0,28.527524971599494,891.6472663627582,1.847651846579591,0
Z Y - Vision,18.5247371,73.8408494,hospital,https://www.openstreetmap.org/?mlat=18.5247371&mlon=73.8408494#map=18/18.5247371/73.8408494,0,178.21776687293078,665.7128212294642,5.415643406291368,0
"Shreeyash Hospital, Pune",18.5155666,73.8418673,hospital,https://www.openstreetmap.org/?mlat=18.5155666&mlon=73.8418673#map=18/18.5155666/73.8418673,0,229.77003768567184,650.4476541504076,3.7778477408276014,0
Dr. Todkar Hospital,18.5229518,73.8639473,hospital,https://www.openstreetmap.org/?mlat=18.5229518&mlon=73.8639473#map=18/18.5229518/73.8639473,0,163.62981580318473,532.5146135963116,3.7104060969742103,0
Khenat Hospital and Maternity Home,18.4891281,73.8138248,hospital,https://www.openstreetmap.org/?mlat=18.4891281&mlon=73.8138248#map=18/18.4891281/73.8138248,1,188.7716173323351,758.1388647830461,1.1282856877571956,0
Manoj Clinic / Gore Hospital,18.5117788,73.8487867,hospital,https://www.openstreetmap.org/?mlat=18.5117788&mlon=73.8487867#map=18/18.5117788/73.8487867,0,138.91464100642534,506.0883595986208,9.48436373389676,0
Pharande Eye Hospital,18.4777316,73.8239729,hospital,https://www.openstreetmap.org/?mlat=18.4777316&mlon=73.8239729#map=18/18.4777316/73.8239729,1,228.6918855423643,517.220266921379,3.544146196709952,0
Vishwaniranjan Eye Hospital,18.5113846,73.8458276,hospital,https://www.openstreetmap.org/?mlat=18.5113846&mlon=73.8458276#map=18/18.5113846/73.8458276,0,237.8316482492566,844.6878081018315,4.894163487231053,0
Shree Nursing and Maternity Home,18.4845772,73.8159759,hospital,https://www.openstreetmap.org/?mlat=18.4845772&mlon=73.8159759#map=18/18.4845772/73.8159759,1,37.65362321582485,755.6554976365372,2.9516981299922787,0
"Ram Krishna Hospital, Pune",18.5092455,73.8483354,hospital,https://www.openstreetmap.org/?mlat=18.5092455&mlon=73.8483354#map=18/18.5092455/73.8483354,1,88.31969595615756,886.0786201237386,2.961823786363129,0
Shatayu Hospital,18.4664871,73.857691,hospital,https://www.openstreetmap.org/?mlat=18.4664871&mlon=73.857691#map=18/18.4664871/73.857691,1,280.23904459478666,874.9329971759943,0.8040356716855801,0
Centre For Laproscopy Surgery,18.5207937,73.8452496,hospital,https://www.openstreetmap.org/?mlat=18.5207937&mlon=73.8452496#map=18/18.5207937/73.8452496,0,55.42451761430124,504.3412942232467,4.5809348213208985,0
Kawedia Hospital,18.5070645,73.8782608,hospital,https://www.openstreetmap.org/?mlat=18.5070645&mlon=73.8782608#map=18/18.5070645/73.8782608,1,130.23874582012516,838.3917957632834,9.095787536405856,0
Ambekar Hospital,18.5054055,73.817541,hospital,https://www.openstreetmap.org/?mlat=18.5054055&mlon=73.817541#map=18/18.5054055/73.817541,1,274.43347303557044,804.6317091936442,5.144238111637768,0
Kamaladevi Maternity Hospital & Research Home,18.467118,73.8190001,hospital,https://www.openstreetmap.org/?mlat=18.467118&mlon=73.8190001#map=18/18.467118/73.8190001,1,128.67867427610216,711.1897412122221,6.88558328123051,0
Harijivan Hospital,18.5001435,73.8542376,hospital,https://www.openstreetmap.org/?mlat=18.5001435&mlon=73.8542376#map=18/18.5001435/73.8542376,1,286.17771182642514,779.7501233312576,4.194669549321816,0
Dugad Hospital Pvt Ltd,18.4909481,73.8580129,hospital,https://www.openstreetmap.org/?mlat=18.4909481&mlon=73.8580129#map=18/18.4909481/73.8580129,1,235.58360905593574,762.8471632957335,6.256521046680595,0
Agrawal Hospital,18.4891931,73.8140419,hospital,https://www.openstreetmap.org/?mlat=18.4891931&mlon=73.8140419#map=18/18.4891931/73.8140419,1,162.7916629770488,638.319147613369,9.21757046950565,0
PMC ARMED FORCE MEDICAL COLLEGE(AFMC),18.503916,73.890117,hospital,https://www.openstreetmap.org/?mlat=18.503916&mlon=73.890117#map=18/18.503916/73.890117,1,219.1502242418413,532.6664541201744,2.5796541201281764,1
